Ex-Dividend Date,Cash Amount,Record Date,Pay Date
"Feb 10, 2023",0.23000,"Feb 13, 2023","Feb 16, 2023"
"Nov 4, 2022",0.23000,"Nov 7, 2022","Nov 10, 2022"
"Aug 5, 2022",0.23000,"Aug 8, 2022","Aug 11, 2022"
"May 6, 2022",0.23000,"May 9, 2022","May 12, 2022"
"Feb 4, 2022",0.22000,"Feb 7, 2022","Feb 10, 2022"
"Nov 5, 2021",0.22000,"Nov 8, 2021","Nov 11, 2021"
"Aug 6, 2021",0.22000,"Aug 9, 2021","Aug 12, 2021"
"May 7, 2021",0.22000,"May 10, 2021","May 13, 2021"
"Feb 5, 2021",0.20500,"Feb 8, 2021","Feb 11, 2021"
"Nov 6, 2020",0.20500,"Nov 9, 2020","Nov 12, 2020"
"Aug 7, 2020",0.20500,"Aug 10, 2020","Aug 13, 2020"
"May 8, 2020",0.20500,"May 11, 2020","May 14, 2020"
"Feb 7, 2020",0.19250,"Feb 10, 2020","Feb 13, 2020"
"Nov 7, 2019",0.19250,"Nov 11, 2019","Nov 14, 2019"
"Aug 9, 2019",0.19250,"Aug 12, 2019","Aug 15, 2019"
"May 10, 2019",0.19250,"May 13, 2019","May 16, 2019"
"Feb 8, 2019",0.18250,"Feb 11, 2019","Feb 14, 2019"
"Nov 8, 2018",0.18250,"Nov 12, 2018","Nov 15, 2018"
"Aug 10, 2018",0.18250,"Aug 13, 2018","Aug 16, 2018"
"May 11, 2018",0.18250,"May 14, 2018","May 17, 2018"
"Feb 9, 2018",0.15750,"Feb 12, 2018","Feb 15, 2018"
"Nov 10, 2017",0.15750,"Nov 13, 2017","Nov 16, 2017"
"Aug 10, 2017",0.15750,"Aug 14, 2017","Aug 17, 2017"
"May 11, 2017",0.15750,"May 15, 2017","May 18, 2017"
"Feb 9, 2017",0.14250,"Feb 13, 2017","Feb 16, 2017"
"Nov 3, 2016",0.14250,"Nov 7, 2016","Nov 10, 2016"
"Aug 4, 2016",0.14250,"Aug 8, 2016","Aug 11, 2016"
"May 5, 2016",0.14250,"May 9, 2016","May 12, 2016"
"Feb 4, 2016",0.13000,"Feb 8, 2016","Feb 11, 2016"
"Nov 5, 2015",0.13000,"Nov 9, 2015","Nov 12, 2015"
"Aug 6, 2015",0.13000,"Aug 10, 2015","Aug 13, 2015"
"May 7, 2015",0.13000,"May 11, 2015","May 14, 2015"
"Feb 5, 2015",0.11750,"Feb 9, 2015","Feb 12, 2015"
"Nov 6, 2014",0.11750,"Nov 10, 2014","Nov 13, 2014"
"Aug 7, 2014",0.11750,"Aug 11, 2014","Aug 14, 2014"
"May 8, 2014",0.11750,"May 12, 2014","May 15, 2014"
"Feb 6, 2014",0.10890,"Feb 10, 2014","Feb 13, 2014"
"Nov 6, 2013",0.10890,"Nov 11, 2013","Nov 14, 2013"
"Aug 8, 2013",0.10890,"Aug 12, 2013","Aug 15, 2013"
