Ex-Dividend Date,Cash Amount,Record Date,Pay Date
"Feb 15, 2023",0.68000,"Feb 16, 2023","Mar 9, 2023"
"Nov 16, 2022",0.68000,"Nov 17, 2022","Dec 8, 2022"
"Aug 17, 2022",0.62000,"Aug 18, 2022","Sep 8, 2022"
"May 18, 2022",0.62000,"May 19, 2022","Jun 9, 2022"
"Feb 16, 2022",0.62000,"Feb 17, 2022","Mar 10, 2022"
"Nov 17, 2021",0.62000,"Nov 18, 2021","Dec 9, 2021"
"Aug 18, 2021",0.56000,"Aug 19, 2021","Sep 9, 2021"
"May 19, 2021",0.56000,"May 20, 2021","Jun 10, 2021"
"Feb 17, 2021",0.56000,"Feb 18, 2021","Mar 11, 2021"
"Nov 18, 2020",0.56000,"Nov 19, 2020","Dec 10, 2020"
"Aug 19, 2020",0.51000,"Aug 20, 2020","Sep 10, 2020"
"May 20, 2020",0.51000,"May 21, 2020","Jun 11, 2020"
"Feb 19, 2020",0.51000,"Feb 20, 2020","Mar 12, 2020"
"Nov 20, 2019",0.51000,"Nov 21, 2019","Dec 12, 2019"
"Aug 14, 2019",0.46000,"Aug 15, 2019","Sep 12, 2019"
"May 15, 2019",0.46000,"May 16, 2019","Jun 13, 2019"
"Feb 20, 2019",0.46000,"Feb 21, 2019","Mar 14, 2019"
"Nov 14, 2018",0.46000,"Nov 15, 2018","Dec 13, 2018"
"Aug 15, 2018",0.42000,"Aug 16, 2018","Sep 13, 2018"
"May 16, 2018",0.42000,"May 17, 2018","Jun 14, 2018"
"Feb 14, 2018",0.42000,"Feb 15, 2018","Mar 8, 2018"
"Nov 15, 2017",0.42000,"Nov 16, 2017","Dec 14, 2017"
"Aug 15, 2017",0.39000,"Aug 17, 2017","Sep 14, 2017"
"May 16, 2017",0.39000,"May 18, 2017","Jun 8, 2017"
"Feb 14, 2017",0.39000,"Feb 16, 2017","Mar 9, 2017"
"Nov 15, 2016",0.39000,"Nov 17, 2016","Dec 8, 2016"
"Aug 16, 2016",0.36000,"Aug 18, 2016","Sep 8, 2016"
"May 17, 2016",0.36000,"May 19, 2016","Jun 9, 2016"
"Feb 16, 2016",0.36000,"Feb 18, 2016","Mar 10, 2016"
"Nov 17, 2015",0.36000,"Nov 19, 2015","Dec 10, 2015"
"Aug 18, 2015",0.31000,"Aug 20, 2015","Sep 10, 2015"
"May 19, 2015",0.31000,"May 21, 2015","Jun 11, 2015"
"Feb 17, 2015",0.31000,"Feb 19, 2015","Mar 12, 2015"
"Nov 18, 2014",0.31000,"Nov 20, 2014","Dec 11, 2014"
"Aug 19, 2014",0.28000,"Aug 21, 2014","Sep 11, 2014"
"May 13, 2014",0.28000,"May 15, 2014","Jun 12, 2014"
"Feb 18, 2014",0.28000,"Feb 20, 2014","Mar 13, 2014"
"Nov 19, 2013",0.28000,"Nov 21, 2013","Dec 12, 2013"
"Aug 13, 2013",0.23000,"Aug 15, 2013","Sep 12, 2013"
