Company ,Date,Total QTY EMP
Microsoft,30-Jun-22,221000
Microsoft,30-Jun-21,181000
Microsoft,30-Jun-20,163000
Microsoft,30-Jun-19,144000
Microsoft,30-Jun-18,131000
Microsoft,30-Jun-17,124000
Microsoft,30-Jun-16,114000
Microsoft,30-Jun-15,118000
Microsoft,30-Jun-14,128000
Microsoft,30-Jun-13,99000
Microsoft,30-Jun-12,94000
Microsoft,30-Jun-11,90000
Microsoft,30-Jun-10,89000
Microsoft,30-Jun-09,93000
Microsoft,30-Jun-08,91000
Microsoft,30-Jun-07,79000
Microsoft,30-Jun-06,71000
Microsoft,30-Jun-05,61000
Microsoft,30-Jun-04,57000
Microsoft,30-Jun-03,55000
Microsoft,30-Jun-02,50500
Microsoft,30-Jun-01,47600
Microsoft,30-Jun-00,39100
Microsoft,30-Jun-99,31396
Microsoft,30-Jun-98,27055
Microsoft,30-Jun-97,22232
Microsoft,30-Jun-96,20561
Microsoft,30-Jun-95,17801
Microsoft,30-Jun-94,15257
Microsoft,30-Jun-93,14430
Microsoft,30-Jun-92,11542
Microsoft,30-Jun-91,4037
Microsoft,30-Jun-90,4037
Apple,24-Sep-22,164000
Apple,25-Sep-21,154000
Apple,26-Sep-20,147000
Apple,28-Sep-19,137000
Apple,29-Sep-18,132000
Apple,30-Sep-17,123000
Apple,24-Sep-16,116000
Apple,26-Sep-15,110000
Apple,27-Sep-14,97000
Apple,28-Sep-13,84400
Apple,29-Sep-12,76100
Apple,24-Sep-11,63300
Apple,25-Sep-10,49400
Apple,26-Sep-09,36800
Apple,30-Sep-08,35100
Apple,29-Sep-07,23700
Apple,30-Sep-06,20186
Apple,30-Sep-05,16820
Apple,30-Sep-04,13426
Apple,30-Sep-03,13566
Apple,30-Sep-02,12241
Apple,30-Sep-01,11434
Apple,30-Sep-00,11728
Apple,30-Sep-99,9736
Apple,30-Sep-98,6658
Apple,30-Sep-97,8437
Apple,30-Sep-96,10896
Apple,30-Sep-95,13191
Apple,30-Sep-94,11287
Apple,30-Sep-93,14938
Apple,30-Sep-92,14798
Apple,30-Sep-91,14432
Apple,30-Sep-90,14517
IBM,31-Dec-22,311300
IBM,31-Dec-21,307600
IBM,31-Dec-20,375300
IBM,31-Dec-18,381100
IBM,31-Dec-17,397800
IBM,31-Dec-16,414400
IBM,31-Dec-15,411798
IBM,31-Dec-14,412775
IBM,31-Dec-13,463785
IBM,31-Dec-12,466995
IBM,31-Dec-11,433362
IBM,31-Dec-10,426751
IBM,31-Dec-09,399409
IBM,31-Dec-08,398455
IBM,31-Dec-06,355766
IBM,31-Dec-05,329373
IBM,31-Dec-04,369277
IBM,31-Dec-03,355157
IBM,31-Dec-02,355421
IBM,31-Dec-01,366579
IBM,31-Dec-00,363689
IBM,31-Dec-99,354377
IBM,31-Dec-98,349671
IBM,31-Dec-97,333216
IBM,31-Dec-96,305648
IBM,31-Dec-95,219839
IBM,31-Dec-94,219839
IBM,31-Dec-93,256207
IBM,31-Dec-92,301542
IBM,31-Dec-91,344396
IBM,31-Dec-90,373816
IBM,31-Dec-89,383220
IBM,31-Dec-88,387112
