Date,Open,Close,High,Low,Volume,MA1,MA2
1980-12-11,0.1283,0.1283,0.1289,0.1283,469033600,,
1980-12-14,0.1222,0.1217,0.1222,0.1217,175884800,,
1980-12-15,0.1133,0.1127,0.1133,0.1127,105728000,,
1980-12-16,0.1155,0.1155,0.1161,0.1155,86441600,,
1980-12-17,0.1189,0.1189,0.1194,0.1189,73449600,,
1980-12-18,0.1261,0.1261,0.1267,0.1261,48630400,,
1980-12-21,0.1323,0.1323,0.1328,0.1323,37363200,,
1980-12-22,0.1378,0.1378,0.1384,0.1378,46950400,,
1980-12-23,0.1451,0.1451,0.1456,0.1451,48003200,,
1980-12-25,0.1585,0.1585,0.1590,0.1585,55574400,,
1980-12-28,0.1607,0.1607,0.1613,0.1607,93161600,,
1980-12-29,0.1574,0.1568,0.1574,0.1568,68880000,,
1980-12-30,0.1529,0.1523,0.1529,0.1523,35750400,,
1981-01-01,0.1540,0.1540,0.1551,0.1540,21660800,,
1981-01-04,0.1512,0.1507,0.1512,0.1507,35728000,,
1981-01-05,0.1445,0.1440,0.1445,0.1440,45158400,,
1981-01-06,0.1384,0.1378,0.1384,0.1378,55686400,,
1981-01-07,0.1356,0.1350,0.1356,0.1350,39827200,,
1981-01-08,0.1423,0.1423,0.1429,0.1423,21504000,,
1981-01-11,0.1423,0.1412,0.1423,0.1412,23699200,,
1981-01-12,0.1367,0.1362,0.1367,0.1362,23049600,,
1981-01-13,0.1367,0.1367,0.1373,0.1367,14291200,,
1981-01-14,0.1395,0.1395,0.1406,0.1395,14067200,,
1981-01-15,0.1390,0.1384,0.1390,0.1384,13395200,,
1981-01-18,0.1468,0.1468,0.1473,0.1468,41574400,,
1981-01-19,0.1429,0.1423,0.1429,0.1423,30083200,,
1981-01-20,0.1451,0.1451,0.1462,0.1451,15904000,,
1981-01-21,0.1468,0.1468,0.1479,0.1468,35548800,,
1981-01-22,0.1468,0.1462,0.1473,0.1462,11222400,,
1981-01-25,0.1445,0.1440,0.1445,0.1440,24640000,,
1981-01-26,0.1440,0.1429,0.1440,0.1429,23699200,,
1981-01-27,0.1390,0.1384,0.1390,0.1384,28156800,,
1981-01-28,0.1339,0.1334,0.1339,0.1334,43904000,,
1981-01-29,0.1272,0.1261,0.1272,0.1261,46188800,,
1981-02-01,0.1194,0.1189,0.1194,0.1189,23766400,,
1981-02-02,0.1233,0.1233,0.1239,0.1233,19152000,,
1981-02-03,0.1278,0.1278,0.1283,0.1278,27865600,,
1981-02-04,0.1278,0.1278,0.1289,0.1278,7929600,,
1981-02-05,0.1283,0.1283,0.1289,0.1283,13865600,,
1981-02-08,0.1228,0.1217,0.1228,0.1217,16755200,,
1981-02-09,0.1217,0.1217,0.1222,0.1217,18345600,,
1981-02-10,0.1183,0.1177,0.1183,0.1177,13843200,,
1981-02-11,0.1172,0.1166,0.1172,0.1166,14560000,,
1981-02-12,0.1150,0.1138,0.1150,0.1138,11155200,,
1981-02-16,0.1166,0.1166,0.1172,0.1166,12275200,,
1981-02-17,0.1217,0.1217,0.1228,0.1217,19241600,,
1981-02-18,0.1150,0.1144,0.1150,0.1144,22310400,,
1981-02-19,0.1088,0.1083,0.1088,0.1083,24371200,,
1981-02-22,0.1099,0.1099,0.1105,0.1099,14112000,,
1981-02-23,0.1071,0.1060,0.1071,0.1060,16979200,,
1981-02-24,0.1127,0.1127,0.1133,0.1127,19488000,0.1323,
1981-02-25,0.1144,0.1144,0.1150,0.1144,10841600,0.1321,
1981-02-26,0.1183,0.1183,0.1194,0.1183,14761600,0.1322,
1981-03-01,0.1189,0.1189,0.1194,0.1189,11760000,0.1323,
1981-03-02,0.1177,0.1172,0.1177,0.1172,16172800,0.1323,
1981-03-03,0.1166,0.1161,0.1166,0.1161,13708800,0.1321,
1981-03-04,0.1161,0.1155,0.1161,0.1155,5376000,0.1317,
1981-03-05,0.1155,0.1144,0.1155,0.1144,11603200,0.1313,
1981-03-08,0.1060,0.1055,0.1060,0.1055,15321600,0.1305,
1981-03-09,0.1010,0.1004,0.1010,0.1004,28380800,0.1293,
1981-03-10,0.0977,0.0965,0.0977,0.0965,29859200,0.1280,
1981-03-11,0.1004,0.1004,0.1010,0.1004,59248000,0.1269,
1981-03-12,0.0999,0.0993,0.0999,0.0993,231302400,0.1258,
1981-03-15,0.1032,0.1032,0.1044,0.1032,37228800,0.1248,
1981-03-16,0.1083,0.1083,0.1094,0.1083,43747200,0.1240,
1981-03-17,0.1150,0.1150,0.1161,0.1150,36937600,0.1234,
1981-03-18,0.1144,0.1138,0.1144,0.1138,37811200,0.1229,
1981-03-19,0.1150,0.1150,0.1161,0.1150,14604800,0.1225,
1981-03-22,0.1194,0.1194,0.1205,0.1194,22019200,0.1221,
1981-03-23,0.1194,0.1189,0.1194,0.1189,28156800,0.1216,
1981-03-24,0.1177,0.1166,0.1177,0.1166,7056000,0.1212,
1981-03-25,0.1150,0.1144,0.1150,0.1144,12275200,0.1208,
1981-03-26,0.1110,0.1105,0.1110,0.1105,12252800,0.1202,
1981-03-29,0.1105,0.1105,0.1116,0.1105,9900800,0.1196,
1981-03-30,0.1105,0.1094,0.1105,0.1094,15993600,0.1189,
1981-03-31,0.1088,0.1083,0.1088,0.1083,34070400,0.1182,
1981-04-01,0.1177,0.1177,0.1183,0.1177,31404800,0.1177,
1981-04-02,0.1183,0.1183,0.1189,0.1183,16486400,0.1171,
1981-04-05,0.1166,0.1161,0.1166,0.1161,22803200,0.1165,
1981-04-06,0.1155,0.1150,0.1155,0.1150,10684800,0.1159,
1981-04-07,0.1205,0.1205,0.1217,0.1205,21952000,0.1155,
1981-04-08,0.1228,0.1228,0.1233,0.1228,12499200,0.1151,
1981-04-09,0.1244,0.1244,0.1250,0.1244,33465600,0.1150,
1981-04-12,0.1244,0.1244,0.1250,0.1244,16060800,0.1149,
1981-04-13,0.1244,0.1244,0.1250,0.1244,6652800,0.1150,
1981-04-14,0.1189,0.1183,0.1189,0.1183,34048000,0.1149,
1981-04-15,0.1122,0.1116,0.1122,0.1116,23878400,0.1146,
1981-04-19,0.1150,0.1150,0.1155,0.1150,35347200,0.1144,
1981-04-20,0.1228,0.1228,0.1233,0.1228,28537600,0.1143,
1981-04-21,0.1272,0.1272,0.1278,0.1272,18995200,0.1144,
1981-04-22,0.1306,0.1306,0.1311,0.1306,58016000,0.1145,
1981-04-23,0.1306,0.1295,0.1306,0.1295,35056000,0.1148,
1981-04-27,0.1289,0.1283,0.1289,0.1283,38528000,0.1150,
1981-04-28,0.1267,0.1261,0.1267,0.1261,32188800,0.1153,
1981-04-29,0.1250,0.1244,0.1250,0.1244,13641600,0.1154,
1981-04-30,0.1267,0.1267,0.1278,0.1267,12611200,0.1155,
1981-05-01,0.1267,0.1267,0.1278,0.1267,16553600,0.1158,
1981-05-04,0.1267,0.1261,0.1267,0.1261,14448000,0.1161,
1981-05-05,0.1261,0.1256,0.1261,0.1256,17539200,0.1164,
1981-05-06,0.1228,0.1222,0.1228,0.1222,18950400,0.1168,
