Quarter Ended,Current,2022-12-31,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-25,2021-06-26,2021-03-27,2020-12-26,2020-09-26,2020-06-27,2020-03-28,2019-12-28,2019-09-28,2019-06-29,2019-03-30,2018-12-29,2018-09-29,2018-06-30,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,2013-06-29,2013-03-30,2012-12-29,2012-09-29,2012-06-30,2012-03-31,2011-12-31,2011-09-24,2011-06-25,2011-03-26,2010-12-25,2010-09-25,2010-06-26,2010-03-27,2009-12-26,2009-09-26,2009-06-27,2009-03-28,2008-12-27,2008-09-27,2008-06-28,2008-03-29,2007-12-29,2007-09-29,2007-06-30,2007-03-31,2006-12-30,2006-09-30,2006-07-01,2006-04-01,2005-12-31,2005-09-24,2005-06-25,2005-03-26,2004-12-25,2004-09-25,2004-06-26,2004-03-27,2003-12-27,2003-09-27,2003-06-28,2003-03-29,2002-12-28,2002-09-28,2002-06-29,2002-03-30,2001-12-29,2001-09-29,2001-06-30,2001-03-31,2000-12-30,2000-09-30,2000-07-01,2000-04-01,2000-01-01,1999-09-25,1999-06-26,1999-03-27,1998-12-26,1998-09-25,1998-06-26,1998-03-27,1997-12-26,1997-09-26,1997-06-27,1997-03-28,1996-12-27,1996-09-26
Market Capitalization,2629125,2066942,2417523,2292793,2851333,2892120,2428612,2221291,2034885,2243728,1920273,1532751,1083981,1287658,988887,910645,895667,741374,1090307,909841,851318,868880,796065,750897,753718,617588,607331,511591,585896,602303,654159,730211,717900,668533,603278,554609,478871,503935,438575,372202,415682,479363,625350,546079,559002,376410,374822,301791,323866,296843,267053,242681,209381,188279,163371,127075,95154,76282,113605,149958,125688,174958,133462,105557,80078,72901,65471,48706,53225,60587,44147,31110,34727,25735,14468,12807,9995,7640,7501,6849,5254,5048,5281,6304,8366,7888,5442,8116,7635,4999,8367,17047,21954,16570,10446,5783,4538,5312,5218,3751,3576,1702,2727,,,,
Market Cap Growth,,-28.53%,-0.46%,3.22%,40.12%,28.90%,26.47%,44.92%,87.72%,74.25%,94.19%,68.31%,21.02%,73.69%,-9.30%,0.09%,5.21%,-14.67%,36.96%,21.17%,12.95%,40.69%,31.08%,46.78%,28.64%,2.54%,-7.16%,-29.94%,-18.39%,-9.91%,8.43%,31.66%,49.92%,32.66%,37.55%,49.01%,15.20%,5.13%,-29.87%,-31.84%,-25.64%,27.35%,66.84%,80.95%,72.60%,26.80%,40.36%,24.36%,54.68%,57.66%,63.46%,90.97%,120.04%,146.82%,43.81%,-15.26%,-24.29%,-56.40%,-14.88%,42.06%,56.96%,140.00%,103.85%,116.72%,50.45%,20.32%,48.30%,56.56%,53.27%,135.43%,205.13%,142.92%,247.44%,236.84%,92.89%,87.00%,90.26%,51.35%,42.04%,8.63%,-37.20%,-36.01%,-2.96%,-22.32%,9.58%,57.81%,-34.96%,-52.39%,-65.22%,-69.83%,-19.91%,194.76%,383.80%,211.92%,100.21%,54.17%,26.89%,212.05%,91.31%,,,,,,,,
Enterprise Value,2574785,2012602,2368483,2233176,2778584,2812322,2362815,2149438,1952157,2160200,1840879,1451857,1000644,1188889,891036,808453,782886,611069,967690,780698,705932,706183,642850,597720,595399,459047,456778,365006,432840,449527,512821,581781,568232,526981,483334,421159,345244,362054,308774,242540,270995,342251,504099,428858,448826,278809,293252,225635,258099,237136,216042,196842,167677,148459,129379,95954,66276,48137,89115,129184,106240,156510,118076,91790,67501,61032,55361,39530,44999,51880,35886,23584,27670,19287,9004,7841,5401,3151,3239,2611,1038,878,1260,2266,4289,3735,1295,4069,3657,798,3854,12285,17101,11070,7181,2977,2571,3688,3872,2711,2729,1051,2244,,,,-610
PE Ratio,28.21,21.72,24.22,23.01,27.97,28.76,25.65,25.59,26.67,35.10,33.45,26.24,18.95,22.38,17.90,16.35,15.67,12.48,18.32,16.21,15.97,17.20,16.46,16.10,16.48,13.66,13.29,10.70,11.56,11.21,12.25,14.39,15.02,15.04,15.27,14.39,12.70,13.61,11.84,9.86,10.48,11.48,14.99,13.61,14.48,11.41,14.46,12.78,16.56,17.84,19.06,19.83,19.37,20.12,19.84,15.64,12.91,11.23,18.57,32.59,28.91,42.97,38.19,33.68,28.72,30.03,32.92,25.98,30.91,37.82,33.24,31.11,46.80,51.68,54.39,59.84,58.11,54.57,108.71,-342.43,-750.52,265.69,81.24,35.82,40.81,37.92,-217.67,102.74,35.02,12.25,10.65,23.45,30.07,26.22,17.38,9.70,9.19,12.83,16.89,89.32,-31.10,-1.94,-2.61,,,,
PS Ratio,6.78,5.33,6.13,5.92,7.39,7.65,6.64,6.40,6.25,7.63,7.00,5.60,4.05,4.81,3.80,3.52,3.47,2.83,4.11,3.56,3.44,3.63,3.47,3.36,3.42,2.83,2.82,2.32,2.58,2.56,2.80,3.26,3.38,3.35,3.30,3.11,2.72,2.90,2.57,2.20,2.46,2.91,4.00,3.67,3.93,2.94,3.46,3.01,3.70,3.89,4.09,4.25,4.10,4.03,3.81,2.91,2.30,1.92,3.03,4.78,4.29,6.46,5.43,4.67,3.71,3.53,3.39,2.68,3.08,3.74,3.17,2.47,3.13,2.64,1.75,1.68,1.39,1.13,1.21,1.15,0.90,0.87,0.92,1.10,1.44,1.38,1.01,1.40,1.25,0.75,1.05,2.29,3.06,2.45,1.70,0.91,0.73,0.88,0.88,0.63,0.56,0.26,0.39,,,,
PB Ratio,46.35,36.44,47.71,39.46,42.31,40.21,38.49,34.56,29.42,33.88,29.39,21.21,13.82,14.38,10.93,9.44,8.46,6.29,10.18,7.92,6.71,6.20,5.94,5.67,5.62,4.67,4.74,4.04,4.49,4.70,5.48,5.81,5.57,5.42,5.41,4.59,3.99,3.89,3.55,3.02,3.07,3.76,5.29,4.89,5.45,4.18,4.89,4.35,5.27,5.43,5.59,5.63,5.32,5.26,5.16,4.91,3.91,3.33,5.10,7.64,6.96,10.41,9.18,7.88,6.53,6.49,6.56,5.22,6.13,7.23,5.94,4.56,5.44,4.45,2.85,2.66,2.23,1.76,1.78,1.63,1.27,1.23,1.29,1.55,2.08,1.99,1.39,2.10,2.04,1.35,2.04,4.08,5.21,3.75,3.37,1.95,2.09,2.76,3.18,2.52,2.58,1.37,2.27,,,,
Debt / Equity Ratio,1.96,1.96,2.37,2.06,1.78,1.71,1.98,1.89,1.76,1.69,1.72,1.56,1.40,1.21,1.19,1.12,1.06,0.97,1.07,1.00,0.96,0.87,0.86,0.82,0.73,0.66,0.68,0.67,0.61,0.49,0.54,0.43,0.34,0.30,0.32,0.26,0.14,0.13,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.10,0.10,0.44,0.50,0.58,0.64,0.70,0.78,0.81,,,,0.55
Current Ratio,0.94,0.94,0.88,0.87,0.93,1.04,1.08,1.06,1.14,1.16,1.36,1.47,1.50,1.60,1.54,1.51,1.32,1.30,1.13,1.31,1.46,1.24,1.28,1.39,1.39,1.23,1.35,1.31,1.28,1.00,1.11,1.09,1.16,1.13,1.08,1.47,1.63,1.49,1.68,1.88,1.78,1.54,1.50,1.57,1.58,1.58,1.61,1.75,1.93,1.85,2.01,2.31,2.64,2.55,2.74,2.11,2.46,2.38,2.64,3.04,2.78,2.49,2.37,2.68,2.92,2.27,2.25,2.49,2.53,2.40,2.95,3.00,2.69,2.58,2.66,2.92,2.92,2.53,2.50,2.74,2.72,3.38,3.25,3.17,3.17,3.34,3.39,3.25,2.98,3.01,2.81,2.75,2.65,2.50,2.77,2.79,2.65,2.61,2.43,2.43,2.32,2.02,1.88,,,,2.25
Dividend Yield,0.55%,0.31%,0.15%,0.16%,0.13%,0.13%,0.15%,0.17%,0.17%,0.16%,0.18%,0.23%,0.31%,0.27%,0.35%,0.39%,0.38%,0.47%,0.32%,0.39%,0.38%,0.38%,0.41%,0.44%,0.40%,0.49%,0.50%,0.61%,0.49%,0.48%,0.45%,0.41%,0.38%,0.41%,0.46%,0.51%,0.56%,0.55%,0.63%,0.76%,0.61%,0.53%,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payout Ratio,18.20%,21.00%,17.80%,19.20%,14.30%,10.40%,17.60%,16.80%,14.50%,12.10%,27.30%,31.50%,30.20%,15.30%,25.40%,35.10%,29.40%,17.30%,24.90%,30.80%,23.00%,16.10%,30.30%,37.60%,26.90%,16.80%,33.60%,39.80%,27.30%,15.80%,26.30%,28.00%,20.00%,15.20%,32.70%,36.20%,26.10%,21.00%,36.30%,40.70%,26.20%,19.10%,30.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
