Date,Open,Close,High,Low,Volume,MA1,MA2
1970-01-01,17.4240,17.4350,17.4830,17.4000,330536,,
1970-01-04,17.4950,17.6030,17.6030,17.4950,443504,,
1970-01-05,17.6030,17.6150,17.6390,17.5070,510448,,
1970-01-06,17.6150,17.6270,17.6270,17.5070,479068,,
1970-01-07,17.6270,17.6630,17.6630,17.5670,740568,,
1970-01-08,17.6630,17.6390,17.7100,17.6150,612956,,
1970-01-11,17.6390,17.5790,17.6740,17.5790,397480,,
1970-01-12,17.5790,17.8840,17.9730,17.5790,778224,,
1970-01-13,17.8840,17.8660,17.9490,17.8300,410032,,
1970-01-14,17.9250,18.2360,18.2360,17.9250,441412,,
1970-01-15,18.2360,17.6740,18.4990,17.6390,1343064,,
1970-01-18,16.9750,16.7300,16.9750,16.7070,778224,,
1970-01-19,16.7300,17.0410,17.0650,16.4910,1759372,,
1970-01-20,17.0410,16.9690,17.0410,16.8980,989516,,
1970-01-21,16.9690,17.0170,17.0650,16.9340,667348,,
1970-01-22,17.0170,17.0170,17.1610,17.0170,853536,,
1970-01-25,16.9220,16.6590,16.9220,16.6590,728016,,
1970-01-26,16.5270,16.5030,16.5270,16.3000,1138048,,
1970-01-27,16.5030,16.3000,16.5990,16.2640,884916,,
1970-01-28,16.3000,16.1810,16.4790,15.9780,1121312,,
1970-01-29,16.0220,16.0220,16.4790,15.9780,447688,,
1970-02-01,16.1090,16.3960,16.3960,16.1090,826340,,
1970-02-02,16.3960,16.4080,16.5750,16.0850,1188256,,
1970-02-03,16.4080,16.4080,16.5750,16.0850,945584,,
1970-02-04,16.2280,16.1930,16.2280,16.0010,855628,,
1970-02-05,16.1930,16.4790,16.5030,16.1690,736384,,
1970-02-08,16.5630,16.7180,16.8020,16.5630,596220,,
1970-02-09,16.7180,16.5390,16.8020,16.4670,535552,,
1970-02-10,16.6710,16.9690,16.9690,16.6710,610864,,
1970-02-11,16.9690,16.8260,16.9690,16.7540,523000,,
1970-02-12,16.8260,16.6830,16.8260,16.6110,520908,,
1970-02-15,16.6830,16.6950,16.7660,16.6230,433044,,
1970-02-16,16.6950,16.7180,16.7180,16.5390,464424,,
1970-02-17,16.7180,16.7900,16.9570,16.7070,410032,,
1970-02-18,16.8260,16.8260,16.9460,16.8260,679900,,
1970-02-19,16.8260,16.7070,16.8500,16.6350,673624,,
1970-02-23,16.6590,16.4670,16.6590,16.4670,389112,,
1970-02-24,16.4670,16.4910,16.6830,16.0130,1280304,,
1970-02-25,16.4910,16.4560,16.4910,16.2280,594128,,
1970-02-26,16.4560,16.2640,16.4910,16.2640,604588,,
1970-03-01,16.2640,16.0370,16.3000,16.0010,1039724,,
1970-03-02,16.0370,15.9300,16.0370,15.9180,849352,,
1970-03-03,15.9300,15.7620,16.0010,15.7030,1117128,,
1970-03-04,15.7620,15.7390,15.8700,15.7270,673624,,
1970-03-05,15.7330,15.5470,15.7330,15.4640,1161060,,
1970-03-08,15.2960,15.1410,15.2960,15.0690,1527160,,
1970-03-09,15.2250,15.6070,15.6070,15.2250,991608,,
1970-03-10,15.6070,15.7030,15.8700,15.5350,991608,,
1970-03-11,15.7030,15.7150,15.7150,15.5410,673624,,
1970-03-12,15.7150,15.5000,15.7270,15.5000,453964,,
1970-03-15,15.3800,15.2960,15.3800,15.2250,784500,16.6170,
1970-03-16,15.2960,15.4160,15.4880,15.2610,832616,16.5730,
1970-03-17,15.4160,15.4040,15.5000,15.4040,629692,16.5290,
1970-03-18,15.4040,15.4100,15.4760,15.3560,506264,16.4840,
1970-03-19,15.4100,15.2840,15.4400,15.1890,765672,16.4370,
1970-03-22,15.2840,15.3920,15.4280,15.1890,349364,16.3920,
1970-03-23,15.3920,15.6790,15.6790,15.3920,451872,16.3540,
1970-03-24,15.7500,15.9180,16.1090,15.7500,1303316,16.3150,
1970-03-25,15.9180,15.9300,16.0130,15.9060,470700,16.2760,
1970-03-29,15.9780,16.0970,16.1450,15.9780,533460,16.2330,
1970-03-30,16.0970,16.1810,16.1810,16.0610,617140,16.2030,
1970-03-31,16.1810,16.1450,16.2760,16.1210,546012,16.1920,
1970-04-01,16.1090,15.8700,16.1090,15.8580,437228,16.1680,
1970-04-02,15.8100,15.6070,15.8100,15.5710,485344,16.1410,
1970-04-05,15.4640,15.3200,15.4640,15.1770,935124,16.1070,
1970-04-06,15.3200,15.2960,15.4400,15.2490,581576,16.0720,
1970-04-07,15.2960,15.4880,15.4880,15.2720,447688,16.0490,
1970-04-08,15.5590,15.5710,15.7980,15.5590,642244,16.0300,
1970-04-09,15.5710,15.8460,16.1090,15.5710,1566908,16.0210,
1970-04-12,15.8220,15.6310,15.8220,15.6010,443504,16.0100,
1970-04-13,15.6070,15.5230,15.6070,15.3560,663164,16.0000,
1970-04-14,15.5230,15.4520,15.6310,15.4280,466516,15.9810,
1970-04-15,15.4520,15.3320,15.5350,15.3200,481160,15.9600,
1970-04-16,15.3320,15.4160,15.4640,15.2720,571116,15.9400,
1970-04-19,15.4400,15.5110,15.5710,15.4400,458148,15.9260,
1970-04-20,15.5110,15.3440,15.5350,15.3440,449780,15.9040,
1970-04-21,15.2780,14.9620,15.2780,14.9620,1416284,15.8690,
1970-04-22,14.9620,14.8000,15.0330,14.7940,1108760,15.8340,
1970-04-23,14.8000,14.7710,14.8900,14.6270,891192,15.7900,
1970-04-27,14.7710,14.4120,14.8180,14.3220,1717532,15.7420,
1970-04-28,14.3280,13.8740,14.3280,13.8620,2115012,15.6850,
1970-04-29,13.8740,14.3520,14.3880,13.6830,2177772,15.6390,
1970-04-30,14.3520,14.2450,14.3520,14.0770,966504,15.5890,
1970-05-01,14.2450,14.1850,14.2930,13.9580,958136,15.5370,
1970-05-04,14.0830,13.5280,14.0830,13.4800,1801212,15.4710,
1970-05-05,13.5280,13.5280,13.5760,13.3370,1441388,15.4080,
1970-05-06,13.5280,13.7430,13.9100,13.4080,1677784,15.3530,
1970-05-07,13.7430,13.8500,13.8680,13.7430,571116,15.3000,
1970-05-08,13.8500,13.8860,13.8860,13.7190,560656,15.2490,
1970-05-11,13.8380,13.6470,13.8380,13.6230,483252,15.1960,
1970-05-12,13.6470,13.5040,13.7790,13.2890,1018804,15.1460,
1970-05-13,13.3250,13.1450,13.3250,13.1090,1719624,15.0900,
1970-05-14,13.1210,12.8350,13.1210,12.5240,1742636,15.0320,
1970-05-15,12.8350,12.9420,12.9540,12.5720,2192416,14.9760,
1970-05-18,12.9420,12.9060,12.9780,12.8820,824248,14.9230,
1970-05-19,12.8350,12.3570,12.8350,12.3570,1064828,14.8670,
1970-05-20,12.2130,11.9740,12.2130,11.9260,1648496,14.7940,
1970-05-21,11.7470,11.7350,11.7470,11.3290,2652656,14.7150,
1970-05-22,11.7350,11.8550,11.9500,11.6160,1217544,14.6380,
1970-05-25,11.8190,11.5200,11.8190,11.5200,1058552,14.5580,
1970-05-26,11.5200,11.5680,11.8190,11.3770,2414168,14.4840,
1970-05-27,11.7110,12.3800,12.4520,11.7110,1960204,14.4230,
1970-05-28,12.3800,12.7630,12.7990,12.3800,2186140,14.3700,
1970-05-29,12.7630,13.2890,13.3720,12.5960,1861880,14.3280,
1970-06-01,13.2890,13.7190,13.7190,13.1930,1736360,14.2960,
1970-06-02,13.6950,13.5280,13.6950,13.3480,1261476,14.2590,
1970-06-03,13.5280,13.5280,13.6110,13.2890,1399548,14.2160,
1970-06-04,13.4440,12.9660,13.4440,12.9180,1129680,14.1570,
1970-06-05,12.9660,12.9060,13.0620,12.6310,1612932,14.0970,
1970-06-08,12.9060,12.7270,13.0740,12.6790,642244,14.0290,
1970-06-09,12.7270,12.8230,12.8820,12.6670,694544,13.9620,
1970-06-10,12.8230,12.6910,12.8470,12.5240,675716,13.8930,
1970-06-11,12.5360,12.3920,12.5360,12.3690,933032,13.8230,
1970-06-12,12.3920,12.3800,12.4280,12.1060,1002068,13.7590,
1970-06-15,12.3800,12.3800,12.5720,12.1650,782408,13.7000,
1970-06-16,12.3860,12.9540,12.9540,12.3860,696636,13.6530,
1970-06-17,12.9540,12.7030,13.0380,12.6790,939308,13.5980,
1970-06-18,12.7030,13.0020,13.0020,12.4280,843076,13.5460,
1970-06-19,13.0020,12.9180,13.1810,12.9180,755212,13.4880,
1970-06-22,12.9180,12.8350,13.0620,12.6730,725924,13.4320,
1970-06-23,12.8350,12.2910,12.9060,12.2910,759396,13.3670,
