Date,Open,Close,High,Low,Volume,MA1,MA2
1986-03-12,0.0885,0.0972,0.1016,0.0885,1031788800,,
1986-03-13,0.0972,0.1007,0.1024,0.0972,308160000,,
1986-03-16,0.1007,0.1024,0.1033,0.1007,133171200,,
1986-03-17,0.1024,0.0998,0.1033,0.0990,67766400,,
1986-03-18,0.0998,0.0981,0.1007,0.0972,47894400,,
1986-03-19,0.0981,0.0955,0.0981,0.0946,58435200,,
1986-03-20,0.0955,0.0929,0.0972,0.0911,59990400,,
1986-03-23,0.0929,0.0903,0.0929,0.0894,65289600,,
1986-03-24,0.0903,0.0920,0.0920,0.0894,32083200,,
1986-03-25,0.0920,0.0946,0.0955,0.0911,22752000,,
1986-03-26,0.0946,0.0964,0.0964,0.0946,16848000,,
1986-03-30,0.0964,0.0955,0.0964,0.0938,12873600,,
1986-03-31,0.0955,0.0946,0.0955,0.0946,11088000,,
1986-04-01,0.0946,0.0955,0.0972,0.0946,27014400,,
1986-04-02,0.0964,0.0964,0.0990,0.0964,23040000,,
1986-04-03,0.0964,0.0964,0.0972,0.0964,26582400,,
1986-04-06,0.0964,0.0946,0.0972,0.0929,16560000,,
1986-04-07,0.0946,0.0955,0.0972,0.0946,10252800,,
1986-04-08,0.0955,0.0972,0.0981,0.0955,12153600,,
1986-04-09,0.0972,0.0981,0.0990,0.0955,13881600,,
1986-04-10,0.0990,0.0998,0.1016,0.0990,17222400,,
1986-04-13,0.0998,0.1007,0.1016,0.0998,12153600,,
1986-04-14,0.1007,0.1007,0.1007,0.0972,9302400,,
1986-04-15,0.1007,0.1042,0.1050,0.0998,31910400,,
1986-04-16,0.1042,0.1050,0.1050,0.1042,22003200,,
1986-04-17,0.1050,0.1016,0.1050,0.1007,21628800,,
1986-04-20,0.1016,0.1016,0.1024,0.0990,22924800,,
1986-04-21,0.1016,0.0998,0.1016,0.0998,15552000,,
1986-04-22,0.0998,0.1003,0.1007,0.0990,15609600,,
1986-04-23,0.1003,0.1102,0.1120,0.0998,62352000,,
1986-04-24,0.1111,0.1172,0.1220,0.1111,85795200,,
1986-04-28,0.1172,0.1181,0.1189,0.1163,28886400,,
1986-04-29,0.1181,0.1146,0.1181,0.1137,30326400,,
1986-04-30,0.1146,0.1120,0.1155,0.1094,30902400,,
1986-05-01,0.1120,0.1102,0.1120,0.1085,54345600,,
1986-05-02,0.1102,0.1102,0.1120,0.1094,20246400,,
1986-05-05,0.1102,0.1094,0.1102,0.1094,3254400,,
1986-05-06,0.1102,0.1102,0.1120,0.1102,9734400,,
1986-05-07,0.1102,0.1102,0.1111,0.1085,5155200,,
1986-05-08,0.1102,0.1111,0.1111,0.1094,3542400,,
1986-05-09,0.1111,0.1102,0.1111,0.1102,6076800,,
1986-05-12,0.1102,0.1111,0.1137,0.1102,10483200,,
1986-05-13,0.1111,0.1120,0.1128,0.1111,3830400,,
1986-05-14,0.1120,0.1111,0.1120,0.1111,9302400,,
1986-05-15,0.1111,0.1111,0.1128,0.1111,3801600,,
1986-05-16,0.1111,0.1120,0.1146,0.1111,11952000,,
1986-05-19,0.1120,0.1102,0.1120,0.1094,11001600,,
1986-05-20,0.1102,0.1094,0.1102,0.1085,61977600,,
1986-05-21,0.1094,0.1076,0.1102,0.1076,8092800,,
1986-05-22,0.1076,0.1076,0.1085,0.1076,4406400,,
1986-05-23,0.1076,0.1076,0.1094,0.1076,4089600,0.1037,
1986-05-27,0.1076,0.1111,0.1111,0.1076,13881600,0.1039,
1986-05-28,0.1111,0.1146,0.1146,0.1111,15523200,0.1041,
1986-05-29,0.1146,0.1172,0.1189,0.1137,45676800,0.1045,
1986-05-30,0.1181,0.1215,0.1233,0.1181,27072000,0.1049,
1986-06-02,0.1215,0.1181,0.1215,0.1181,19728000,0.1054,
1986-06-03,0.1181,0.1181,0.1181,0.1163,5011200,0.1059,
1986-06-04,0.1181,0.1172,0.1189,0.1163,4723200,0.1064,
1986-06-05,0.1172,0.1189,0.1189,0.1163,13708800,0.1070,
1986-06-06,0.1189,0.1189,0.1189,0.1172,3427200,0.1075,
1986-06-09,0.1189,0.1137,0.1189,0.1137,12672000,0.1078,
1986-06-10,0.1137,0.1137,0.1137,0.1120,3427200,0.1082,
1986-06-11,0.1137,0.1137,0.1137,0.1120,2304000,0.1085,
1986-06-12,0.1137,0.1094,0.1137,0.1085,13708800,0.1088,
1986-06-13,0.1094,0.1094,0.1102,0.1085,7891200,0.1091,
1986-06-16,0.1094,0.1085,0.1102,0.1076,9590400,0.1093,
1986-06-17,0.1094,0.1102,0.1120,0.1094,13075200,0.1096,
1986-06-18,0.1102,0.1094,0.1102,0.1076,4348800,0.1099,
1986-06-19,0.1094,0.1085,0.1102,0.1076,8467200,0.1101,
1986-06-20,0.1085,0.1089,0.1094,0.1085,3801600,0.1104,
1986-06-23,0.1089,0.1102,0.1102,0.1068,46195200,0.1106,
1986-06-24,0.1102,0.1094,0.1111,0.1085,14572800,0.1107,
1986-06-25,0.1094,0.1076,0.1102,0.1076,15235200,0.1109,
1986-06-26,0.1076,0.1042,0.1085,0.1042,19152000,0.1109,
1986-06-27,0.1042,0.1033,0.1050,0.1024,10396800,0.1108,
1986-06-30,0.1033,0.1068,0.1094,0.1024,62352000,0.1110,
1986-07-01,0.1068,0.1068,0.1068,0.1059,47577600,0.1111,
1986-07-02,0.1068,0.1068,0.1068,0.1059,52617600,0.1112,
1986-07-03,0.1076,0.1085,0.1094,0.1076,14140800,0.1114,
1986-07-07,0.1085,0.1042,0.1085,0.1042,14054400,0.1112,
1986-07-08,0.1042,0.1016,0.1042,0.1007,14256000,0.1109,
1986-07-09,0.1016,0.0972,0.1016,0.0964,46137600,0.1105,
1986-07-10,0.0972,0.0946,0.0981,0.0903,46886400,0.1101,
1986-07-11,0.0946,0.0972,0.0990,0.0946,17395200,0.1098,
1986-07-14,0.0946,0.0959,0.0981,0.0946,28598400,0.1095,
1986-07-15,0.0959,0.0972,0.0990,0.0946,13190400,0.1093,
1986-07-16,0.0981,0.1007,0.1007,0.0981,9360000,0.1091,
1986-07-17,0.1007,0.1024,0.1024,0.0998,6940800,0.1089,
1986-07-18,0.1024,0.1033,0.1042,0.0998,12326400,0.1088,
1986-07-21,0.1033,0.1033,0.1050,0.1033,3513600,0.1086,
1986-07-22,0.1033,0.1068,0.1068,0.1033,10512000,0.1086,
1986-07-23,0.1068,0.1042,0.1085,0.1042,20793600,0.1084,
1986-07-24,0.1059,0.1076,0.1094,0.1059,14140800,0.1083,
1986-07-25,0.1076,0.1085,0.1094,0.1076,20448000,0.1083,
1986-07-28,0.1085,0.1059,0.1085,0.1059,11808000,0.1082,
1986-07-29,0.1059,0.1033,0.1068,0.1016,14054400,0.1080,
1986-07-30,0.1033,0.0998,0.1033,0.0964,26409600,0.1078,
1986-07-31,0.0998,0.0990,0.1007,0.0990,15638400,0.1076,
1986-08-01,0.0990,0.0981,0.0998,0.0972,12902400,0.1074,
1986-08-04,0.0981,0.0981,0.0981,0.0955,12441600,0.1072,
1986-08-05,0.0981,0.0972,0.0990,0.0972,2822400,0.1070,
1986-08-06,0.0972,0.0964,0.0981,0.0946,18316800,0.1067,
1986-08-07,0.0964,0.0955,0.0972,0.0946,3657600,0.1063,
1986-08-08,0.0955,0.0964,0.0981,0.0955,4147200,0.1059,
1986-08-11,0.0981,0.0998,0.1007,0.0981,7948800,0.1055,
1986-08-12,0.0998,0.1024,0.1024,0.0998,9993600,0.1052,
1986-08-13,0.1024,0.1033,0.1033,0.1016,6883200,0.1049,
1986-08-14,0.1033,0.1059,0.1068,0.1033,20131200,0.1047,
1986-08-15,0.1059,0.1063,0.1068,0.1050,6105600,0.1044,
1986-08-18,0.1063,0.1050,0.1068,0.1050,12787200,0.1041,
1986-08-19,0.1050,0.1050,0.1055,0.1033,20390400,0.1039,
1986-08-20,0.1050,0.1042,0.1050,0.1042,20764800,0.1038,
1986-08-21,0.1042,0.1042,0.1059,0.1042,49536000,0.1036,
1986-08-22,0.1042,0.1024,0.1050,0.1007,5760000,0.1034,
1986-08-25,0.1024,0.1024,0.1024,0.1007,2419200,0.1033,
1986-08-26,0.1024,0.1016,0.1024,0.1016,10857600,0.1031,
1986-08-27,0.1016,0.1016,0.1024,0.1007,9532800,0.1030,
1986-08-28,0.1016,0.1016,0.1024,0.1016,3427200,0.1028,
1986-08-29,0.1016,0.0990,0.1024,0.0972,25430400,0.1026,
1986-09-02,0.0990,0.0964,0.0990,0.0951,5212800,0.1024,
1986-09-03,0.0955,0.0938,0.0955,0.0911,18316800,0.1021,
1986-09-04,0.0955,0.1016,0.1016,0.0955,39427200,0.1019,
1986-09-05,0.1016,0.1059,0.1059,0.1007,26352000,0.1019,
1986-09-08,0.1059,0.1050,0.1068,0.1050,9619200,0.1019,
1986-09-09,0.1050,0.1068,0.1094,0.1050,37526400,0.1020,
1986-09-10,0.1068,0.1050,0.1076,0.1050,10886400,0.1019,
1986-09-11,0.1050,0.1007,0.1059,0.1007,35654400,0.1018,
1986-09-12,0.1007,0.0981,0.1016,0.0981,24451200,0.1016,
1986-09-15,0.0981,0.0998,0.0998,0.0964,22492800,0.1014,
1986-09-16,0.0998,0.0998,0.1007,0.0981,5184000,0.1014,
1986-09-17,0.0998,0.1024,0.1042,0.0990,8035200,0.1014,
1986-09-18,0.1024,0.1033,0.1050,0.1024,5356800,0.1015,
1986-09-19,0.1033,0.1033,0.1042,0.1024,2505600,0.1017,
