Quarter Ended,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31
Market Capitalization,2138083,1787732,1736943,1920840,2311359,2525084,2118598,2040304,1778228,1681606,1591704,1543306,1199550,1203063,1061551,1026511,904861,779674,877014,757640,702760,659906,573740,532175,508935,483160,448849,402220,436831,443169,353511,357155,333525,382881,381999,344459,340247,312297,277221,288489,239602,224801,249490,256982,270644,218380,208535,219252,213336,238785,211926,201656,256865,270636,229183,211546,163320,172930,243688,256209,264132,333054,276202,281934,272912,293538,272679,237688,281171,278358,275638,268380,262975,290489,300630,308296,269104,295937,300629,275278,259081,276411,235266,296226,326639,356806,276418,392893,291793,231317,322983,420992,553016,602433,465615,460317,452305,345833,273459,267032,217916,155965,160435,151433,110317,98746,78630,71862,61254,51975,53391,52924,41337,35601,32575,29734,24235,23054
Market Cap Growth,,-29.20%,-18.01%,-5.86%,29.98%,50.16%,33.10%,32.20%,48.24%,39.78%,49.94%,50.34%,32.57%,54.30%,21.04%,35.49%,28.76%,18.15%,52.86%,42.37%,38.08%,36.58%,27.82%,32.31%,16.51%,9.02%,26.97%,12.62%,30.97%,15.75%,-7.46%,3.69%,-1.98%,22.60%,37.80%,19.40%,42.00%,38.92%,11.12%,12.26%,-11.47%,2.94%,19.64%,17.21%,26.86%,-8.55%,-1.60%,8.73%,-16.95%,-11.77%,-7.53%,-4.68%,57.28%,56.50%,-5.95%,-17.43%,-38.17%,-48.08%,-11.77%,-9.12%,-3.22%,13.46%,1.29%,18.62%,-2.94%,5.45%,-1.07%,-11.44%,6.92%,-4.18%,-8.31%,-12.95%,-2.28%,-1.84%,0.00%,11.99%,3.87%,7.06%,27.78%,-7.07%,-20.68%,-22.53%,-14.89%,-24.60%,11.94%,54.25%,-14.42%,-6.67%,-47.24%,-61.60%,-30.63%,-8.54%,22.27%,74.20%,70.27%,72.38%,107.56%,121.74%,70.45%,76.34%,97.54%,57.94%,104.04%,110.73%,80.10%,89.99%,47.27%,35.78%,48.18%,45.99%,63.90%,78.00%,70.57%,54.43%,,,,
Enterprise Value,2098689,1748338,1689963,1877353,2267949,2463747,2051321,1977745,1720151,1619036,1525032,1477777,1135782,1145590,1001069,971058,852315,730864,823016,705680,653398,612026,526512,490760,466925,445349,386607,342441,377673,384958,292723,295921,269955,320940,316526,281395,274501,251329,212481,227067,179314,170677,194796,205886,223053,178576,163059,178401,175101,207204,178418,170807,223194,240532,198451,185845,139979,154215,224941,232547,237791,311978,254628,258523,244676,264665,240847,203527,246355,243657,235582,230629,225381,255985,236215,247704,212697,243160,249007,226230,212903,232987,194791,257574,287946,318577,240255,361293,261775,204428,298272,397194,531811,584590,446713,443081,430544,326596,256217,253105,205594,145860,150801,142467,101231,89586,71532,64922,54484,45958,48327,48174,36872,31762,28799,26120,21092,20258
PE Ratio,31.88,26.51,24.89,26.41,31.90,35.47,31.21,33.30,31.75,32.77,33.51,34.85,25.93,27.14,25.83,26.16,25.91,23.25,46.60,45.72,44.57,47.72,21.73,20.88,20.96,21.42,21.07,19.58,41.68,37.85,28.16,29.29,16.68,18.52,17.88,15.61,15.17,13.68,12.24,13.20,14.61,14.54,15.89,15.14,11.59,9.31,8.88,9.47,9.79,11.61,10.29,10.75,14.86,16.65,16.64,14.52,10.32,10.04,13.72,14.49,16.09,19.64,18.57,20.05,19.69,24.65,21.08,18.87,20.87,21.32,21.42,21.90,23.39,29.06,37.20,37.74,38.66,38.00,37.10,36.55,50.81,48.54,38.49,55.32,51.29,58.67,43.04,53.48,30.11,24.04,34.23,44.69,60.02,68.88,56.15,59.13,65.17,54.38,49.63,59.47,52.00,40.10,45.89,43.84,37.42,39.90,34.04,32.74,30.57,28.28,32.64,36.42,28.57,27.24,26.64,25.95,23.10,22.25
PS Ratio,10.48,8.76,8.55,9.69,12.00,13.66,12.02,12.14,11.12,10.97,10.82,10.79,8.65,8.96,8.18,8.16,7.40,6.58,7.63,6.87,6.64,6.45,5.79,5.51,5.22,5.10,4.84,4.41,5.03,5.03,3.90,3.82,3.52,4.10,4.18,3.97,4.08,3.74,3.45,3.71,3.15,3.08,3.45,3.49,3.71,3.03,2.93,3.14,3.11,3.58,3.22,3.23,4.31,4.61,4.07,3.62,2.67,2.79,3.95,4.24,4.56,5.75,5.11,5.52,5.51,6.37,6.01,5.37,6.59,6.73,6.83,6.75,6.76,7.55,7.95,8.37,7.56,8.64,9.21,8.55,8.26,8.98,7.85,10.44,11.80,13.29,10.77,15.53,11.90,9.73,13.84,18.34,24.13,27.57,22.24,23.31,24.12,19.28,16.75,17.50,15.30,11.40,12.56,12.69,10.57,10.47,8.79,8.29,7.62,7.01,7.96,8.91,7.37,6.76,6.63,6.40,5.51,5.61
PB Ratio,11.67,9.76,10.01,11.53,14.19,15.78,13.94,14.37,13.22,12.91,12.90,13.05,10.48,10.93,10.01,10.03,9.54,8.46,10.20,9.16,8.87,8.42,6.40,6.07,7.30,7.02,6.38,5.59,5.84,5.77,4.57,4.46,3.70,4.17,4.24,3.84,3.89,3.67,3.40,3.65,3.12,3.10,3.62,3.87,3.94,3.41,3.51,3.84,3.99,4.93,4.51,4.37,5.62,6.11,5.56,5.35,4.42,5.02,7.25,7.06,7.03,9.67,8.60,9.07,7.80,8.01,7.55,5.93,6.69,6.30,5.70,5.58,5.55,6.15,3.96,4.12,3.81,4.27,4.51,4.24,4.45,4.95,4.40,5.68,6.02,6.92,5.70,8.31,6.07,4.98,7.12,10.18,13.90,17.42,14.86,16.19,17.58,15.32,14.30,16.06,14.85,12.64,14.00,14.05,12.08,10.24,10.81,10.40,9.29,8.41,9.30,9.92,8.39,8.01,7.35,6.68,6.04,6.15
Debt / Equity Ratio,0.33,0.33,0.35,0.37,0.38,0.40,0.42,0.48,0.50,0.53,0.58,0.60,0.65,0.70,0.72,0.77,0.83,0.86,0.95,0.99,1.05,1.21,1.02,1.04,1.20,1.23,1.06,0.74,0.62,0.58,0.50,0.44,0.35,0.31,0.26,0.25,0.26,0.27,0.20,0.20,0.19,0.20,0.17,0.18,0.17,0.19,0.20,0.21,0.22,0.20,0.23,0.13,0.13,0.14,0.15,0.15,0.05,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Ratio,1.93,1.93,1.84,1.79,1.99,2.25,2.17,2.08,2.29,2.58,2.53,2.52,2.90,2.80,2.85,2.53,2.97,3.12,2.92,2.90,3.40,2.89,3.12,2.92,2.81,2.05,2.69,2.35,2.90,3.00,2.46,2.47,2.91,2.45,2.52,2.50,3.22,3.17,2.87,2.71,2.93,2.81,2.68,2.60,2.94,2.86,2.95,2.60,2.76,2.46,2.30,2.13,2.06,2.04,1.82,1.82,1.71,1.59,1.53,1.45,1.54,1.71,1.58,1.69,1.98,2.03,2.06,2.18,2.54,2.79,2.93,2.89,2.89,2.95,4.61,4.71,4.08,4.48,4.03,4.22,4.15,3.89,3.64,3.81,4.04,4.15,3.45,4.24,3.88,3.64,3.37,3.11,2.27,2.10,2.64,2.47,3.07,2.92,2.94,2.77,2.82,2.59,2.78,2.87,2.94,3.32,3.09,3.23,3.40,3.17,3.65,4.17,4.46,4.29,4.54,4.72,4.28,4.71
Dividend Yield,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,,,0.01,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payout Ratio,0.28,0.31,0.26,0.28,0.28,0.25,0.21,0.26,0.27,0.27,0.28,0.35,0.36,0.33,0.33,0.27,0.40,0.42,0.37,0.37,0.44,-0.51,0.46,0.38,0.55,0.48,0.49,0.41,0.75,0.57,0.51,-0.82,0.51,0.44,0.51,0.50,0.41,0.35,0.37,0.39,0.32,0.30,0.38,-3.33,0.33,0.25,0.24,0.23,0.26,0.21,0.21,0.25,0.28,0.17,0.33,0.38,0.39,0.28,0.23,0.23,0.23,0.22,0.22,0.31,0.20,0.37,0.26,0.32,0.31,0.23,0.28,0.24,0.33,9.63,0.35,0.00,0.00,1.14,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
